Customer_ID,Customer_Name,Gender,Age,Nationality,Booking_ID,Booking_Date,Duration_of_Stay,Room_Type, Room_Rate , Additional_Room_Cost ,Loyalty_Status,Booking_Channel,Economic_Index,Travel_Purpose,Group_Size,Competitor_ID, Competitor_Room_Rate ,Competitor_Occupancy_Rate,Competitor_Promotions,Competitor_Name,Competitor_Rating,Competitor_Pricing_Strategy,Channel_Type,Local_Events,Cancellation
37,Sydney Watson,Male,48,Morocco,37,02/06/2012,1,Suite, $529.44 , $806.26 ,No,Online Travel Agency,2,Business,4,4," $2,928.38 ",5.189,Seasonal Discount,Oxford Road,5,Competitive,Direct,Festival,No
38,Brandon Parrish,Male,68,Morocco,38,02/07/2012,14,Double," $1,812.53 ", $707.94 ,No,Walk-In,3,Business,1,4," $2,235.30 ",5.883,Seasonal Discount,Luxury Stay,2,Competitive,Agent,Sports Event,Yes
39,Linda Andrews,Female,44,Zimbabwe,39,02/08/2012,3,Suite, $783.20 , $799.53 ,Yes,Walk-In,3,Event,1,4," $2,445.99 ",7.285,None,Blue Roof Hotel,5,Competitive,Agent,Conference,No
40,Christine Stevens,Male,30,Ghana,40,02/09/2012,7,Suite," $1,255.80 ", $525.75 ,No,Online Travel Agency,2,Business,1,1," $4,129.33 ",9.451,Loyalty Offer,Luxury Stay,1,Premium,Direct,None,No
41,Jenna Bryant,Male,36,Kenya,41,02/10/2012,3,Double," $1,224.93 "," $1,004.78 ",Yes,Event,5,Other,4,2," $3,109.34 ",7.832,Loyalty Offer,Luxury Stay,5,Premium,Third-party,Festival,No
42,Jim Hill,Male,57,Egypt,42,02/11/2012,2,Suite," $1,796.61 ", $942.01 ,No,Phone,4,Business,1,4," $3,747.02 ",8.741,Loyalty Offer,Blue Roof Hotel,2,Premium,Agent,None,No
43,Leonard Pearson,Male,67,Ghana,43,02/12/2012,4,Double," $1,013.93 "," $1,075.40 ",No,Direct,5,Business,5,2," $4,392.50 ",8.523,Seasonal Discount,Bahamas Luxury,4,Budget,Agent,None,No
44,Morgan Brown,Male,47,Nigeria,44,2/13/2012,5,Double," $1,410.02 ", $655.97 ,No,Event,2,Leisure,2,2," $4,335.06 ",5.504,Seasonal Discount,Oxford Road,1,Budget,Online,None,No
45,Austin Hughes,Male,64,Ghana,45,2/14/2012,7,Suite," $1,247.98 ", $845.05 ,No,Online Travel Agency,4,Business,3,2," $2,620.32 ",5.385,Event Special,Blue Roof Hotel,3,Competitive,Third-party,None,No
46,Raymond Rodgers,Female,56,Ghana,46,2/15/2012,5,Suite," $1,468.83 ", $627.43 ,No,Event,3,Event,3,3," $2,019.93 ",8.025,None,Luxury Stay,5,Competitive,Third-party,Sports Event,No
47,Andre Allen,Male,24,Nigeria,47,2/16/2012,3,Deluxe," $1,111.34 ", $998.47 ,No,Walk-In,4,Leisure,1,4," $2,187.07 ",9.511,Loyalty Offer,Blue Roof Hotel,2,Premium,Agent,None,No
48,Lisa Spence,Male,20,Nigeria,48,2/17/2012,10,Single, $998.05 , $300.00 ,No,Direct,4,Business,1,4," $1,580.64 ",8.264,Loyalty Offer,Oxford Road,5,Premium,Third-party,Conference,No
49,Amy Stevens,Male,67,Kenya,49,2/18/2012,2,Suite," $1,216.77 ", $623.00 ,No,Direct,3,Event,4,4," $3,851.19 ",6.07,Seasonal Discount,Oxford Road,2,Competitive,Agent,Festival,No
50,Lisa Grant,Male,31,Kenya,50,2/19/2012,4,Single," $1,271.43 ", $597.13 ,Yes,Event,4,Event,1,4," $2,499.98 ",6.234,None,Bahamas Luxury,3,Premium,Third-party,Sports Event,No
51,Dustin Walton,Female,69,Morocco,51,2/20/2012,3,Deluxe," $1,520.39 ", $930.23 ,No,Walk-In,5,Other,2,4," $2,650.18 ",8.377,Seasonal Discount,Bahamas Luxury,5,Premium,Agent,Sports Event,Yes
52,Glenn Maxwell,Male,34,Egypt,52,2/21/2012,5,Double," $1,138.15 ", $947.20 ,Yes,Walk-In,3,Leisure,3,2," $1,259.20 ",9.461,Event Special,Oxford Road,3,Competitive,Agent,Conference,No
53,Antonio Cummings,Female,49,Zimbabwe,53,2/22/2012,3,Double," $1,725.63 ", $778.62 ,No,Online Travel Agency,1,Leisure,2,3," $4,207.02 ",6.016,None,Luxury Stay,5,Premium,Direct,Sports Event,No
54,Michael Lester,Male,26,Nigeria,54,2/23/2012,10,Suite, $904.98 ," $1,150.51 ",No,Direct,3,Business,1,1," $1,547.18 ",8.85,Event Special,Oxford Road,1,Competitive,Direct,Festival,No
55,Sarah Houston,Male,59,Nigeria,55,2/24/2012,14,Single," $1,378.82 ", $643.30 ,Yes,Direct,1,Other,1,2," $2,198.83 ",7.44,Event Special,Luxury Stay,4,Budget,Direct,Concert,No
56,Gregory Brown,Male,57,Nigeria,56,2/25/2012,1,Suite, $879.17 ," $1,407.69 ",No,Phone,4,Leisure,1,3," $2,146.43 ",8.912,Seasonal Discount,Bahamas Luxury,5,Competitive,Direct,Concert,No
57,Linda Anderson,Male,49,Ghana,57,2/26/2012,7,Single, $500.00 , $869.93 ,Yes,Direct,5,Business,5,2," $4,027.76 ",5.997,None,Luxury Stay,3,Budget,Third-party,Festival,Yes
58,Adam Watkins,Male,43,South Africa,58,2/27/2012,10,Double," $1,076.02 ", $948.94 ,No,Event,5,Business,2,2," $1,365.70 ",9.361,Event Special,Oxford Road,5,Competitive,Direct,Concert,No
59,Samantha Burke,Male,36,Egypt,59,2/28/2012,10,Deluxe," $1,097.81 ", $938.70 ,No,Direct,4,Business,1,4," $3,835.22 ",8.039,None,Blue Roof Hotel,2,Budget,Direct,Festival,No
60,Jessica Prince,Male,37,South Africa,60,2/29/2012,10,Suite," $1,070.29 ", $979.73 ,No,Walk-In,1,Event,1,2," $2,751.16 ",6.816,Event Special,Luxury Stay,1,Competitive,Agent,Concert,No
61,John Armstrong,Male,46,Nigeria,61,03/01/2012,4,Deluxe, $819.08 ," $1,061.58 ",No,Event,2,Business,1,2," $1,879.33 ",8.522,None,Oxford Road,1,Premium,Direct,None,No
62,Mackenzie Smith,Male,19,Nigeria,62,03/02/2012,10,Deluxe," $1,073.41 "," $1,133.71 ",No,Walk-In,5,Event,1,1," $3,411.44 ",8.415,Seasonal Discount,Blue Roof Hotel,5,Budget,Third-party,Sports Event,No
63,Bill Evans,Male,44,Ghana,63,03/03/2012,3,Double," $1,059.10 ", $976.75 ,Yes,Phone,2,Other,1,2," $1,455.27 ",6.097,Loyalty Offer,Blue Roof Hotel,2,Premium,Direct,Concert,No
64,Jesse Randolph,Male,69,Nigeria,64,03/04/2012,2,Double, $500.00 , $466.76 ,No,Phone,4,Event,1,3," $4,412.16 ",5.012,Seasonal Discount,Luxury Stay,1,Budget,Agent,Festival,Yes
65,Michael Christensen,Female,48,Nigeria,65,03/05/2012,7,Double, $996.75 , $716.83 ,No,Direct,1,Other,1,4, $808.91 ,5.251,Loyalty Offer,Luxury Stay,2,Competitive,Third-party,Festival,No
66,Tristan Vazquez,Male,39,Kenya,66,03/06/2012,5,Double," $1,734.23 ", $387.38 ,Yes,Online Travel Agency,3,Other,2,2," $1,876.74 ",9.804,Event Special,Bahamas Luxury,4,Competitive,Agent,None,No
67,James Velazquez,Male,70,Algeria,67,03/07/2012,7,Single," $2,042.95 ", $795.80 ,No,Event,3,Leisure,3,4," $1,845.30 ",7.604,Loyalty Offer,Blue Roof Hotel,4,Premium,Direct,Conference,No
68,Justin Green,Male,29,Nigeria,68,03/08/2012,1,Deluxe," $1,078.80 ", $631.41 ,No,Walk-In,1,Business,1,3," $2,255.85 ",7.2,Event Special,Bahamas Luxury,5,Budget,Online,Festival,No
69,Diana Greer,Female,53,Algeria,69,03/09/2012,2,Suite, $501.86 ," $1,176.91 ",Yes,Event,5,Other,2,2," $1,324.00 ",6.733,Event Special,Bahamas Luxury,4,Premium,Direct,None,No
70,Phillip Harris,Male,52,Nigeria,70,03/10/2012,5,Single," $1,094.05 ", $828.27 ,Yes,Online Travel Agency,2,Event,2,4," $4,035.71 ",9.378,Loyalty Offer,Luxury Stay,4,Competitive,Direct,None,No
71,Kevin Cannon,Male,18,Zimbabwe,71,03/11/2012,1,Suite," $1,264.65 ", $599.67 ,Yes,Event,4,Business,2,3," $2,200.70 ",8.352,Seasonal Discount,Blue Roof Hotel,1,Budget,Online,Conference,No
72,Troy Tucker,Male,42,Egypt,72,03/12/2012,10,Double, $500.00 , $844.75 ,Yes,Direct,3,Event,1,2," $3,236.65 ",9.49,Seasonal Discount,Blue Roof Hotel,1,Budget,Agent,Sports Event,No
73,Jessica Byrd,Male,64,Zimbabwe,73,3/13/2012,14,Suite," $1,198.31 "," $1,343.41 ",No,Event,3,Leisure,1,2," $2,202.07 ",5.994,Event Special,Bahamas Luxury,3,Competitive,Third-party,Conference,No
74,Joshua Soto,Male,50,Morocco,74,3/14/2012,5,Single," $1,283.09 ", $527.72 ,No,Event,5,Other,1,2," $3,897.27 ",8.214,None,Oxford Road,4,Budget,Online,Concert,No
75,Mark Peterson,Male,58,Ghana,75,3/15/2012,4,Single," $1,174.62 ", $809.75 ,Yes,Direct,2,Other,1,4," $3,233.20 ",9.522,None,Luxury Stay,2,Premium,Agent,Sports Event,No
76,Megan Porter,Male,22,Nigeria,76,3/16/2012,3,Suite," $1,189.30 ", $896.70 ,No,Event,3,Event,5,3," $1,306.89 ",7.772,Event Special,Luxury Stay,1,Competitive,Agent,Concert,No
77,Brian Douglas,Male,47,South Africa,77,3/17/2012,5,Suite, $645.37 , $300.00 ,No,Phone,4,Leisure,2,3," $1,146.30 ",6.246,None,Blue Roof Hotel,4,Budget,Direct,Sports Event,Yes
78,Brooke Lewis,Male,69,Nigeria,78,3/18/2012,1,Single," $1,763.63 ", $492.47 ,No,Online Travel Agency,3,Leisure,1,2," $3,567.99 ",6.281,Loyalty Offer,Blue Roof Hotel,4,Competitive,Agent,None,No
79,Sierra Warner,Male,70,Kenya,79,3/19/2012,4,Deluxe," $1,550.61 ", $301.06 ,No,Walk-In,4,Other,1,1," $3,199.66 ",6.806,None,Bahamas Luxury,5,Competitive,Third-party,None,No
80,William Adams,Female,36,Nigeria,80,3/20/2012,3,Double," $1,168.46 "," $1,353.93 ",No,Walk-In,5,Other,3,2," $1,666.92 ",9.163,None,Blue Roof Hotel,5,Competitive,Agent,Conference,No
81,Janice Shaw,Male,70,Kenya,81,3/21/2012,4,Double," $1,369.66 ", $873.27 ,No,Online Travel Agency,3,Other,2,2," $2,393.74 ",8.761,Event Special,Blue Roof Hotel,1,Budget,Direct,Sports Event,No
82,Amanda Mendoza,Male,55,Egypt,82,3/22/2012,14,Deluxe," $1,118.91 ", $782.14 ,Yes,Event,3,Leisure,1,1," $2,231.50 ",8.353,Event Special,Luxury Stay,3,Budget,Direct,None,Yes
83,Patricia Hogan,Female,57,Nigeria,83,3/23/2012,2,Deluxe," $1,724.17 "," $1,256.45 ",Yes,Online Travel Agency,5,Event,1,3," $1,806.50 ",7.902,Seasonal Discount,Bahamas Luxury,1,Budget,Agent,Sports Event,No
84,Donna Pineda,Male,20,Ghana,84,3/24/2012,7,Deluxe," $1,928.16 ", $791.05 ,No,Event,5,Business,1,2," $4,113.50 ",9.635,Seasonal Discount,Bahamas Luxury,1,Competitive,Agent,Concert,Yes
85,Carmen Mitchell,Male,69,Morocco,85,3/25/2012,2,Suite," $1,369.46 ", $326.51 ,No,Phone,5,Leisure,2,1," $2,189.02 ",6.13,Seasonal Discount,Bahamas Luxury,5,Budget,Direct,Concert,No
86,Chad Banks,Male,51,South Africa,86,3/26/2012,3,Deluxe," $1,150.24 ", $811.12 ,Yes,Phone,4,Leisure,2,3," $3,589.44 ",9.162,Loyalty Offer,Oxford Road,1,Competitive,Agent,Concert,No
87,David Johns,Female,43,Morocco,87,3/27/2012,10,Double," $1,977.31 ", $891.42 ,No,Online Travel Agency,4,Business,5,1," $3,749.78 ",8.828,None,Luxury Stay,5,Premium,Agent,Sports Event,No
88,John Miranda,Male,45,Nigeria,88,3/28/2012,2,Deluxe, $798.67 , $396.30 ,Yes,Event,1,Event,1,2," $4,167.28 ",5.232,Loyalty Offer,Luxury Stay,4,Budget,Third-party,Conference,No
89,Richard Thornton,Male,63,Morocco,89,3/29/2012,3,Double," $1,755.98 ", $832.91 ,No,Phone,4,Other,5,3, $984.50 ,9.039,Seasonal Discount,Bahamas Luxury,4,Premium,Agent,Sports Event,Yes
90,Sandy Ramirez,Male,40,Zimbabwe,90,3/30/2012,10,Deluxe," $1,731.52 "," $1,019.95 ",No,Event,4,Business,2,4," $3,156.60 ",6.475,Seasonal Discount,Oxford Road,1,Premium,Third-party,Sports Event,No
91,Vincent Cox,Male,60,Kenya,91,3/31/2012,7,Double," $1,508.62 ", $593.88 ,No,Phone,1,Other,1,4," $1,218.93 ",9.853,Loyalty Offer,Blue Roof Hotel,1,Premium,Online,None,No
92,Daniel Greene,Male,67,Ghana,92,04/01/2012,2,Single," $1,035.89 ", $547.12 ,No,Event,1,Other,2,1," $1,658.03 ",9.889,Loyalty Offer,Bahamas Luxury,4,Competitive,Agent,Festival,No
93,Dylan Chase,Male,24,Nigeria,93,04/02/2012,7,Single, $519.34 ," $1,142.08 ",Yes,Walk-In,4,Event,1,1," $3,611.16 ",6.779,Seasonal Discount,Luxury Stay,1,Budget,Agent,None,No
94,Jeanette Rogers,Female,47,Ghana,94,04/03/2012,14,Suite," $1,771.13 "," $1,047.27 ",No,Online Travel Agency,5,Business,3,2," $3,566.29 ",5.565,Seasonal Discount,Oxford Road,5,Premium,Online,Concert,No
95,Joel Miller,Male,50,Kenya,95,04/04/2012,7,Deluxe, $907.51 , $322.06 ,Yes,Phone,3,Event,2,2," $3,254.83 ",7.276,None,Blue Roof Hotel,1,Premium,Third-party,Sports Event,No
96,Bob Ellis,Male,57,Nigeria,96,04/05/2012,2,Deluxe," $1,065.44 "," $1,000.63 ",No,Online Travel Agency,3,Business,4,3," $1,831.43 ",8.009,None,Bahamas Luxury,3,Budget,Third-party,Sports Event,No
97,James Gomez,Male,41,Morocco,97,04/06/2012,14,Double," $1,726.86 ", $959.06 ,No,Phone,2,Leisure,4,4," $1,802.74 ",8.837,Seasonal Discount,Blue Roof Hotel,3,Premium,Online,Festival,No
98,Katherine Taylor,Male,55,Nigeria,98,04/07/2012,2,Double," $1,405.52 ", $477.83 ,Yes,Direct,5,Business,1,2," $4,441.77 ",9.212,Loyalty Offer,Bahamas Luxury,1,Premium,Third-party,Festival,No
99,Debra Foster,Male,28,Algeria,99,04/08/2012,3,Single," $1,521.99 ", $621.68 ,No,Phone,5,Other,2,2," $3,750.90 ",7.622,Loyalty Offer,Luxury Stay,5,Competitive,Direct,Conference,No
100,Sheri Rogers,Female,27,Nigeria,100,04/09/2012,10,Double," $1,139.94 ", $656.87 ,No,Direct,3,Leisure,1,1," $4,187.15 ",8.913,Loyalty Offer,Luxury Stay,1,Premium,Agent,Sports Event,No
101,Christina Price,Male,19,Ghana,101,04/10/2012,5,Deluxe," $1,186.11 ", $917.18 ,No,Direct,5,Other,5,1," $1,708.03 ",6.016,Loyalty Offer,Blue Roof Hotel,5,Budget,Third-party,Festival,No
102,Thomas Bryan,Male,18,South Africa,102,04/11/2012,14,Double, $770.46 , $619.03 ,No,Direct,2,Leisure,1,1," $2,280.51 ",5.529,Event Special,Luxury Stay,3,Premium,Direct,Concert,No
103,Patricia Campbell,Male,21,Ghana,103,04/12/2012,10,Single," $1,576.47 ", $916.35 ,No,Walk-In,1,Event,1,3," $1,879.32 ",6.744,Event Special,Bahamas Luxury,1,Budget,Agent,Conference,No
104,Trevor Warren,Male,43,Zimbabwe,104,4/13/2012,5,Suite," $1,970.35 ", $857.68 ,Yes,Direct,1,Other,1,3," $4,375.06 ",9.963,None,Oxford Road,3,Premium,Online,Sports Event,No
105,Deborah Evans,Female,58,South Africa,105,4/14/2012,2,Suite," $1,331.92 ", $973.28 ,No,Online Travel Agency,2,Other,2,3," $2,884.35 ",9.484,None,Oxford Road,5,Competitive,Online,Conference,No
106,Melissa Hernandez,Male,30,Morocco,106,4/15/2012,5,Single," $1,479.21 ", $338.43 ,No,Event,5,Business,1,4," $2,743.77 ",7.5,Event Special,Luxury Stay,4,Competitive,Online,None,No
107,Joel Murray,Male,21,Morocco,107,4/16/2012,4,Single," $1,401.87 ", $953.34 ,Yes,Direct,3,Leisure,1,1," $3,748.68 ",6.576,Loyalty Offer,Oxford Road,5,Competitive,Direct,Concert,No
108,Richard Pittman,Female,52,Morocco,108,4/17/2012,2,Double," $1,604.71 ", $784.85 ,Yes,Direct,3,Leisure,1,2," $2,192.26 ",9.78,None,Bahamas Luxury,2,Budget,Direct,Sports Event,Yes
109,Jessica Cherry,Male,45,South Africa,109,4/18/2012,4,Suite, $690.66 , $804.69 ,No,Walk-In,3,Other,1,3," $3,693.29 ",5.855,Loyalty Offer,Luxury Stay,4,Competitive,Third-party,None,No
110,Greg Randall,Male,67,Zimbabwe,110,4/19/2012,5,Suite, $851.15 , $984.14 ,No,Walk-In,5,Business,5,4," $3,668.89 ",5.998,Seasonal Discount,Blue Roof Hotel,1,Competitive,Online,None,No
111,Maxwell Hughes,Male,19,Egypt,111,4/20/2012,3,Single, $773.18 , $997.96 ,No,Direct,2,Business,4,3," $2,978.15 ",5.747,Seasonal Discount,Luxury Stay,4,Competitive,Online,Festival,Yes
112,Joseph Lee,Male,26,Algeria,112,4/21/2012,7,Deluxe, $502.57 , $777.16 ,Yes,Phone,2,Other,2,1," $1,387.59 ",6,Seasonal Discount,Oxford Road,2,Competitive,Online,Sports Event,No
113,Amanda Austin,Male,56,Ghana,113,4/22/2012,7,Deluxe," $1,417.40 ", $364.16 ,No,Event,2,Event,3,2," $1,543.63 ",5.568,Loyalty Offer,Oxford Road,5,Competitive,Online,Sports Event,Yes
114,Diana Calderon,Male,51,Kenya,114,4/23/2012,10,Single," $1,536.82 ", $971.29 ,No,Event,5,Leisure,5,4," $1,767.69 ",7.507,Event Special,Oxford Road,1,Competitive,Third-party,Festival,No
115,Christian Lang,Male,61,Algeria,115,4/24/2012,1,Double," $1,146.96 "," $1,604.96 ",Yes,Direct,1,Other,1,4," $4,262.23 ",8.103,None,Bahamas Luxury,3,Premium,Agent,None,No
116,Patricia Lewis,Male,49,Egypt,116,4/25/2012,14,Deluxe," $1,333.28 ", $992.24 ,No,Event,3,Other,2,1," $1,642.37 ",7.631,Seasonal Discount,Oxford Road,1,Premium,Third-party,None,No
117,Jesse Williams,Male,47,Uganda,117,4/26/2012,3,Single," $1,729.57 ", $300.00 ,No,Walk-In,2,Leisure,2,4," $3,827.26 ",5.052,Loyalty Offer,Bahamas Luxury,2,Budget,Third-party,Sports Event,No
118,Melissa Wang,Female,66,Morocco,118,4/27/2012,3,Double, $500.00 ," $1,160.31 ",No,Walk-In,1,Event,1,2," $1,045.48 ",8.975,Loyalty Offer,Luxury Stay,2,Budget,Agent,Concert,No
119,Calvin Williams,Male,63,Uganda,119,4/28/2012,7,Single," $1,058.15 ", $768.07 ,No,Phone,5,Leisure,1,1," $2,127.36 ",5.567,Loyalty Offer,Bahamas Luxury,5,Competitive,Direct,Conference,No
